symbol	TCGA-3A-A9IC	TCGA-D7-A748	TCGA-HZ-A49I	TCGA-IB-7888	TCGA-OE-A75W	TCGA-VQ-A8DU	TCGA-VQ-A8DZ	TCGA-VQ-AA6F	TCGA-VQ-AA6G
ADAMTS1	6.47046784722512	4.70326064211077	6.08422687640272	8.30574589959891	4.62396743171124	4.69152468629995	5.14784425106103	5.48924324135789	5.73607257159395
TNC	7.99519680932591	1.54297179127098	6.20960517285906	5.50979961603436	3.29174104506014	4.91797938402222	5.48213628179195	4.02056565757356	4.76843771103455
GDF15	7.86288739531117	9.60637696174852	9.06283735131495	6.86396934510481	7.142349578147	3.90658965955956	7.31606470520235	10.2987720591589	7.06453935912529
ICA1	5.5000570414908	2.74324371481414	6.00027757406061	5.13447346929093	5.77581203626738	4.74813491749527	4.9444430127191	5.21371541482998	5.72343811029404
ICAM2	4.53835549297569	5.47608867099793	5.94956319259921	8.67039428653311	3.79057625433801	2.71910485938676	4.18622752437215	3.83852631299123	3.11987644754207
BAG3	10.6612771245678	7.24132617902847	8.41663650015417	7.52290081831324	7.01388632636576	6.33994377896519	6.83879022175484	7.71779845310966	10.816211032928
GMFG	5.7376601911583	6.28818586516144	7.61337512127164	8.31661278091328	6.62709625205082	2.80072783643994	3.9558611774889	4.56196709738734	2.24850706962467
IRF8	1.57954491297421	3.49705305988918	4.25393247241454	4.85167106357626	4.07145595834759	2.17460006107415	1.33822647848944	3.7706504307603	4.68517737760163
ID1	9.09583311106163	9.02431571862269	10.1998382492096	5.02015405237449	10.8556326497068	10.4162009623468	9.56218193603113	9.69016702273541	7.59656200357199
ID2	5.65545666658408	6.74370105441506	5.9987317154421	5.36537298659443	4.24245653499238	7.51391217985461	6.27744282443001	4.52494786296844	4.64178216013526
ID4	5.21473050372648	5.27957099916571	3.64714771641626	5.96974171620979	4.72249999935743	4.35352819503139	2.65318697943217	4.98592307165931	2.52123241613346
POU2AF1	1.65190584365692	2.1859357880378	4.33706885906041	6.980914000464	1.28720606465162	4.16732703452196	2.90396026955376	7.59431754395786	3.57099617318867
POU3F2	3.27370734677806	3.22664134903863	3.31180053645174	3.28828122451079	3.22664134903863	3.26467043753409	3.25884673272926	3.24349769608612	3.22664134903863
NPDC1	8.65351770333942	6.92790064991037	8.7257655133916	5.77044600497775	8.27261599442081	6.31311996956401	7.11117973071305	6.60255680920189	6.31721130600875
WWTR1	6.58955256502509	6.61535655780199	5.93832780567356	7.0506493694706	4.80416841079988	5.90930984189542	6.1366588874963	8.60771418045621	6.65497108316962
CHST11	6.69374696114942	6.60889107630187	6.07483424163081	7.18831226533927	6.44326582283412	4.64378994354441	5.6268966652231	4.71755991374499	3.7720299170212
CLDN4	7.93646493571114	5.0298454265811	7.12666112975706	2.19967057080089	7.25785599835314	4.34673434141582	7.82624181631433	7.40561992944359	8.00174052665012
CPE	7.59711479722396	6.57263741179772	6.51035947733709	9.6942089635172	6.62228900523468	4.6744790879594	5.4389336124685	3.66782503493424	3.55027185127783
CLDN7	5.24770621642663	5.09051464717497	4.9931274891965	2.02644427295668	5.05983338512772	4.06298824514253	5.89180810006801	6.0710433978879	6.46498731760106
NIBAN2	9.27050205114285	7.4881550105624	10.2679938828898	8.0227370073518	9.36548268049469	6.78508360179246	8.79310424548699	8.10827908338096	9.39565306591002
NECTIN3	5.06900530656996	4.65573529805705	6.26446312343366	5.7240442775875	2.7565832389862	5.16621693396529	4.52897989472629	6.3916263011527	6.4343339348515
PPARG	3.95244646989347	5.31363899376159	4.72642144101927	5.35300615913499	4.83210062172059	3.70673218966342	6.52596241100655	4.4150119499032	7.13151746618385
GTF2IRD1	6.73388536033599	5.62722065453518	7.39562824756687	5.78876975629425	6.22889619274046	6.53022374600089	8.50244878253799	6.10487148728056	7.41750377744649
CDCP1	5.04034307423049	4.91162497876637	5.80862415690781	4.79278312246955	4.79384046424319	3.49541447413758	5.60383012855308	5.88388641968407	8.43930147415516
IFI16	9.28505296356077	9.82127221577712	9.7485357162652	11.228920694907	8.56174339037356	8.36637333513704	6.87796531611449	8.5833286428998	8.05942810540387
IFI27	7.54605911401264	9.69007703563116	11.4532917257177	6.27278034742545	10.2296609375702	6.79550065683778	7.26048266697774	7.58550487275726	7.41275978523722
MOB3A	5.77680761384432	6.35118694305221	6.11952663297851	6.37306560561719	5.11947056615256	5.48941899544732	5.52869113926686	6.38648567466563	5.0713159048057
